"";"...1";"species";"year";"month";"lon";"lat";"year_month";"tme";"ele"
"58";58;"Rana temporaria";1991;4;4,6;51,95;1991,3;8,46505126953127;-2
"59";59;"Rana temporaria";2019;3;6,62414;46,52087;2019,225;6,85860595703127;464
"60";60;"Rana iberica";1983;11;-5,3;40,349998;1983,825;6,77034912109377;1278
"61";61;"Rana temporaria";2003;3;8,93189;47,50362;2003,225;5,44609985351565;493
"62";62;"Pelophylax perezi";1984;7;-6,555072;41,6415;1984,525;21,3668151855469;589
"63";63;"Rana temporaria";1991;3;8,19236;46,83616;1991,225;1,39315185546877;650
"64";64;"Lithobates septentrionalis";2020;9;-79,510278;45,818611;2020,675;13,4101806640625;364
"65";65;"Rana temporaria";2016;10;5,55;51,7;2016,75;10,2969299316406;9
"66";66;"Lithobates sylvaticus";2000;7;-72,12945;41,94244;2000,525;19,4436889648438;235
"67";67;"Lithobates warszewitschii";2000;6;-84,33917;10,97283;2000,45;24,2310119628906;53
"68";68;"Pelophylax lessonae";2006;6;10,66486;54,79676;2006,45;15,7320190429688;-2
"69";69;"Rana temporaria";2021;4;6,684049;52,361569;2021,3;6,21206054687502;17
"70";70;"Rana temporaria";2021;3;5,75;51,3;2021,225;6,47103271484377;32
"71";71;"Lithobates clamitans";1973;6;-81,675;45,216699999;1973,45;15,8271118164063;195
"72";72;"Rana dalmatina";2001;3;9,01525;45,83807;2001,225;7,62661132812502;245
"73";73;"Pelophylax ridibundus";2019;5;4,77338;51,00973;2019,375;12,0254760742188;13
"74";74;"Lithobates berlandieri";2004;3;-99,01583;30,20417;2004,225;16,0349365234375;531
"75";75;"Hylarana latouchii";2012;10;121,6079;24,96798;2012,75;21,2536254882813;398
"76";76;"Rana temporaria";2013;4;3,21401;50,56464;2013,3;8,17107543945315;32
"77";77;"Rana temporaria";2007;4;7,14295;46,97319;2007,3;13,5612426757813;430
"78";78;"Rana dalmatina";2005;12;2,98485;49,44526;2005,9;3,11080322265627;95
"79";79;"Rana temporaria";2016;3;2,9311;49,42443;2016,225;5,87703857421877;39
"80";80;"Rana temporaria";2020;5;5,2;52,2;2020,375;13,190087890625;16
"81";81;"Rana temporaria";2019;1;6,1;52,3;2019,075;2,96798095703127;5
"82";82;"Rana temporaria";2013;4;10,73991;53,89701;2013,3;6,89959106445315;14
"83";83;"Rana aurora";2021;5;-122,892647;45,512;2021,375;13,6098266601563;58
"84";84;"Lithobates maculatus";1975;6;-93,87553;16,33134;1975,45;24,5313354492188;568
"85";85;"Lithobates sylvaticus";1955;1;-100,1116;53,32729;1955,075;-17,4317993164062;253
"86";86;"Lithobates sylvaticus";2022;5;-113,7928;53,41325;2022,375;9,7723327636719;701
"87";87;"Sylvirana guentheri";2017;10;121,4658;25,12864;2017,75;23,6355224609375;35
"88";88;"Rana temporaria";2020;5;4,3;51,55;2020,375;13,895166015625;-1
"89";89;"Rana temporaria";2019;3;13,04;47,87;2019,225;4,80782470703127;568
"90";90;"Rana temporaria";2013;2;-4,174845;53,25214;2013,15;NA;95
"91";91;"Lithobates clamitans";2020;4;-76,162123;44,400994;2020,3;5,33599243164065;102
"92";92;"Lithobates catesbeianus";1963;8;-119,272724603;39,296335697;1963,6;23,1867919921875;1312
"93";93;"Rana temporaria";2007;1;6,29496;44,32956;2007,075;-0,574621582031227;1796
"94";94;"Rana arvalis";2005;7;64,93818;59,75608;2005,525;18,8583312988281;49
"95";95;"Lithobates lemosespinali";2005;8;-107,8256;27,53743;2005,6;18,5192810058594;2236
"96";96;"Lithobates catesbeianus";2020;6;-83,49261;40,32916;2020,45;21,1018615722656;325
"97";97;"Rana temporaria";2012;1;5,38475;47,91148;2012,075;3,20595703125002;351
"98";98;"Rana temporaria";2015;3;6,15;51,15;2015,225;6,02126464843752;60
"99";99;"Lithobates pipiens";2022;8;-86,07226;43,32326;2022,6;21,6579223632813;218
"100";100;"Lithobates catesbeianus";2020;8;-122,99153;42,383217;2020,6;21,992822265625;600
"101";101;"Rana temporaria";2010;3;1,173332;52,60023;2010,225;5,91951904296877;48
"102";102;"Pelophylax perezi";2004;1;-7,32124;39,2403;2004,075;9,2122741699219;457
"103";103;"Lithobates catesbeianus";2017;7;-111,27717;31,480612;2017,525;25,4087158203125;1251
"104";104;"Rana temporaria";2021;9;5,2;51,6;2021,675;16,4736572265625;9
"105";105;"Rana temporaria";2018;3;9,06048;47,36695;2018,225;2,21114501953127;677
"106";106;"Pelophylax fukienensis";2013;8;121,699475;24,640943;2013,6;24,8022705078125;155
"107";107;"Rana sauteri";2019;11;121,612871;24,752103;2019,825;16,6112915039063;557
"108";108;"Lithobates pipiens";1957;4;-96,93;42,78;1957,3;7,19411621093752;377
"109";109;"Rana temporaria";2011;4;13,22;47,62;2011,3;6,3005310058594;903
"110";110;"Rana temporaria";2007;7;12,62;47,07;2007,525;8,25386962890627;1862
"111";111;"Lithobates catesbeianus";2021;8;-80,694608;40,974627;2021,6;22,7961059570313;326
"112";112;"Lithobates pipiens";2017;4;-73,15426;43,96957;2017,3;8,18026123046877;107
"113";113;"Rana aurora";2022;7;-128,310724;50,789809;2022,525;13,2673583984375;42
"114";114;"Rana temporaria";2017;4;27,4;59;2017,3;2,48299560546877;28
"115";115;"Rana arvalis";2011;4;15,15408;56,79372;2011,3;9,0270935058594;172
"116";116;"Rana temporaria";2020;3;12,97618;47,7543;2020,225;4,5029235839844;489
"117";117;"Rana temporaria";2013;3;0,123309;52,26405;2013,225;2,49773559570315;10
"118";118;"Odorrana swinhoana";2017;11;121,622987;24,757656;2017,825;17,7389770507813;521
"119";119;"Rana temporaria";2000;1;6,2266;44,26916;2000,075;-4,42941894531248;1445
"120";120;"Rana temporaria";1995;5;13,32;47,11;1995,375;2,35665283203127;1491
"121";121;"Pelophylax perezi";2014;5;-5,546537;37,94062;2014,375;20,1219116210938;659
"122";122;"Hylarana latouchii";2013;10;121,816;25,09097;2013,75;22,3339477539063;382
"123";123;"Rana temporaria";2018;5;8,19615;47,106;2018,375;13,7304626464844;559
"124";124;"Rana temporaria";1990;5;6,05;52,15;1990,375;13,816064453125;9
"125";125;"Rana temporaria";2013;6;6,85833;44,3389;2013,45;8,7930847167969;2519
"126";126;"Pelophylax ridibundus";2019;3;0,360534;51,565503;2019,225;8,34298095703127;9
"127";127;"Hylarana latouchii";2015;2;121,184;24,79615;2015,15;14,5273071289063;178
"128";128;"Sylvirana guentheri";2013;6;121,353245;24,984995;2013,45;27,4727722167969;131
"129";129;"Lithobates montezumae";1965;1;-98,716667;19,783333;1965,075;10,2310424804688;2415
"130";130;"Lithobates pipiens";2015;5;-96,65469;42,56766;2015,375;15,4226928710938;340
"131";131;"Lithobates sphenocephalus";1989;7;-76,01;36,9;1989,525;25,258203125;12
"132";132;"Lithobates clamitans";2021;8;-81,21226;42,96765;2021,6;22,4523559570313;250
"133";133;"Rana temporaria";2019;4;0,435049;51,7902;2019,3;8,93361816406252;57
"134";134;"Rana temporaria";2001;1;0,18611;43,29403;2001,075;6,00380859375002;300
"135";135;"Lithobates pipiens";2020;8;-97,71691;44,16855;2020,6;24,531884765625;432
"136";136;"Rana temporaria";2018;5;-2,69132;53,73964;2018,375;12,6542907714844;33
"137";137;"Rana temporaria";2018;6;9,63928;46,95244;2018,45;12,1164184570313;1452
"138";138;"Rana temporaria";2014;3;5,25;51,55;2014,225;8,13912353515627;9
"139";139;"Rana uenoi";2020;3;128,6142;34,81694;2020,225;10,0927673339844;57
"140";140;"Lithobates sphenocephalus";2021;7;-94,53126;29,60673;2021,525;27,5568786621094;2
"141";141;"Rana temporaria";1997;5;9,51143;47,04481;1997,375;6,32644042968752;640
"142";142;"Rana arvalis";2008;6;6,75;52,1;2008,45;16,9518676757813;29
"143";143;"Pelophylax ridibundus";2011;1;6,37037;47,21631;2011,075;1,43059692382815;604
"144";144;"Rana temporaria";2012;9;13,53;48,55;2012,675;14,5539184570313;478
"145";145;"Lithobates blairi";2020;8;-97,124093;40,070701;2020,6;25,443994140625;394
"146";146;"Lithobates sylvaticus";2020;4;-82,32087;37,62021;2020,3;11,1133361816406;420
"147";147;"Rana temporaria";2021;5;4,7;51,65;2021,375;11,3910766601563;-1
"148";148;"Lithobates catesbeianus";2013;8;-122,757404;47,180751;2013,6;19,3432861328125;47
"149";149;"Odorrana swinhoana";2014;11;121,607929;24,967976;2014,825;19,6487060546875;398
"150";150;"Pelophylax ridibundus";2004;1;5,52198;46,89894;2004,075;2,7982116699219;224
"151";151;"Rana iberica";2004;1;-7,32124;39,240299;2004,075;9,2122741699219;457
"152";152;"Lithobates clamitans";2021;5;-81,239705;43,028076;2021,375;13,4047485351563;247
"153";153;"Rana temporaria";2021;9;4,65;52,65;2021,675;16,8662353515625;16
"154";154;"Rana arvalis";2021;5;27,205124;63,123843;2021,375;8,86177978515627;89
"155";155;"Nidirana adenopleura";2017;8;120,885615;23,919835;2017,6;23,4162231445313;690
"156";156;"Rana arvalis";2020;7;12,238126;55,959845;2020,525;15,9707275390625;23
"157";157;"Lithobates blairi";2020;8;-98,743382;38,788477;2020,6;26,037744140625;526
"158";158;"Rana temporaria";2003;12;11,70601;59,31232;2003,9;0,535974121093773;157
"159";159;"Rana temporaria";2021;3;12,09928;57,74511;2021,225;3,11947021484377;63
"160";160;"Hylarana latouchii";2019;8;121,1636;24,78966;2019,6;26,3052917480469;213
"161";161;"Rana temporaria";2003;3;7,2071;47,33313;2003,225;5,34258422851565;565
"162";162;"Rana temporaria";1985;4;-1,323881;53,44985;1985,3;7,80217895507815;28
"163";163;"Rana huanrenensis";2010;8;128,8051;37,6825;2010,6;24,101220703125;232
"164";164;"Rana temporaria";2013;9;6,186419;51,114773;2013,675;15,00234375;86
"165";165;"Lithobates sylvaticus";2020;9;-72,99701;44,41326;2020,675;15,6718994140625;118
"166";166;"Rana temporaria";1994;5;13,19;47,33;1994,375;8,21004638671877;592
"167";167;"Rana dybowskii";2003;3;127,73513;37,098682;2003,225;4,55742797851565;259
"168";168;"Rana temporaria";2005;8;7,99855;47,10714;2005,6;14,8962341308594;628
"169";169;"Rana arvalis";1970;5;37,983333;58,583333;1970,375;9,52593383789065;105
"170";170;"Pelophylax ridibundus";2018;4;4,43649;50,81516;2018,3;12,36220703125;74
"171";171;"Lithobates septentrionalis";1998;7;-68,403;47,44;1998,525;18,1565795898438;213
"172";172;"Rana arvalis";2000;9;8,86559;55,524064;2000,675;13,4046569824219;33
"173";173;"Rana temporaria";2020;6;-2,17236;51,2005;2020,45;15,1233459472656;125
"174";174;"Rana dalmatina";2017;3;4,7402;45,65179;2017,225;9,32546386718752;255
"175";175;"Lithobates dunni";1982;5;-101,680163873;19,530604992;1982,375;16,8914428710938;2062
"176";176;"Rana temporaria";2014;9;6,39483;44,98496;2014,675;6,40023193359377;2250
"177";177;"Lithobates sylvaticus";2005;6;-72,13309;41,95557;2005,45;20,2646728515625;259
"178";178;"Pelophylax nigromaculatus";2000;3;128,6817;37,45659;2000,225;1,1820007324219;356
"179";179;"Lithobates pipiens";2017;5;-84,70791;42,59723;2017,375;13,9843383789063;267
"180";180;"Pelophylax perezi";2022;5;-9,153987;38,73777;2022,375;18,7117858886719;82
"181";181;"Rana temporaria";2007;10;0,884338;52,69755;2007,75;10,9420104980469;57
"182";182;"Nidirana adenopleura";2016;2;121,564095;24,991776;2016,15;13,2409912109375;48
"183";183;"Lithobates sphenocephalus";2014;3;-96,83243;28,50277;2014,225;16,2465454101563;4
"184";184;"Hylarana latouchii";2013;5;120,6411;22,68399;2013,375;25,059228515625;111
"185";185;"Sylvirana guentheri";2015;7;121,557422;25,014732;2015,525;27,5210205078125;66
"186";186;"Rana dalmatina";2012;4;16,5986;56,63889;2012,3;4,86843261718752;34
"187";187;"Lithobates clamitans";2012;3;-72,236488;41,823215;2012,225;7,13326416015627;136
"188";188;"Lithobates pipiens";1962;5;-105,8536;40,60512;1962,375;1,60854492187502;2802
"189";189;"Rana cascadae";1974;6;-121,4438;40,50716;1974,45;13,7322021484375;2018
"190";190;"Pelophylax lessonae";1992;6;12,98;47,89;1992,45;16,3471313476563;406
"191";191;"Lithobates catesbeianus";2022;7;-71,977004;46,069074;2022,525;20,2829833984375;127
"192";192;"Rana temporaria";2002;3;-1,42094;48,25835;2002,225;8,7989440917969;111
"193";193;"Lithobates sylvaticus";1983;5;-79,72847;43,52092;1983,375;10,6870361328125;178
"194";194;"Lithobates sylvaticus";1956;8;-139,38;62,98;1956,6;12,6306396484375;442
"195";195;"Hylarana latouchii";2014;7;120,9689;24,68264;2014,525;27,6571899414063;117
"196";196;"Rana temporaria";2019;7;7,5381;47,46823;2019,525;20,5470825195313;519
"197";197;"Lithobates catesbeianus";2022;4;-119,038855;34,17902;2022,3;16,0934387207031;34
"198";198;"Rana arvalis";2015;6;12,348227;55,822709;2015,45;13,7668090820313;46
"199";199;"Lithobates sylvaticus";2022;3;-75,36948;39,87142;2022,225;7,1508728027344;27
"200";200;"Rana temporaria";2009;2;1,63911;50,64972;2009,15;4,28743896484377;39
"201";201;"Rana dalmatina";2012;3;-1,80772;47,3254;2012,225;10,0863891601563;84
"202";202;"Rana dalmatina";2011;2;8,165342;49,05616;2011,15;3,38540039062502;135
"203";203;"Pelophylax lessonae";2017;8;11,62289;54,7288;2017,6;17,6154418945313;8
"204";204;"Lithobates palustris";2017;8;-83,072114;36,28947;2017,6;23,2267700195313;370
"205";205;"Rana temporaria";2010;4;3,77662;50,26883;2010,3;8,84462890625002;146
"206";206;"Lithobates clamitans";2019;4;-77,496785;38,663592;2019,3;14,6933837890625;62
"207";207;"Rana arvalis";2012;4;10,218427;56,913624;2012,3;5,98757324218752;5
"208";208;"Rana arvalis";2009;5;11,286554;55,782029;2009,375;NA;12
"209";209;"Rana temporaria";2007;9;6,65;51,95;2007,675;13,8272644042969;29
"210";210;"Rana temporaria";1999;5;8,66855;47,59667;1999,375;14,8920837402344;370
"211";211;"Rana temporaria";2008;3;5,8;50,85;2008,225;5,42717895507815;139
"212";212;"Lithobates clamitans";2013;8;-73,180317;44,018542;2013,6;19,4272705078125;106
"213";213;"Lithobates catesbeianus";2022;7;-68,257149;44,334128;2022,525;18,6169677734375;124
"214";214;"Lithobates catesbeianus";2020;8;-75,167855;39,601793;2020,6;24,861962890625;36
"215";215;"Rana temporaria";2015;4;7,01332;46,74789;2015,3;7,4709411621094;734
"216";216;"Rana temporaria";2002;8;2,25686;42,6248;2002,6;14,1262451171875;1703
"217";217;"Rana temporaria";1989;6;11,3204;60,03168;1989,45;14,965966796875;140
"218";218;"Rana dalmatina";2012;3;0,82566;47,56056;2012,225;9,36763916015627;145
"219";219;"Rana temporaria";2021;10;5,3;51,7;2021,75;12,0327392578125;7
"220";220;"Pelophylax perezi";2019;5;1,55;41,259;2019,375;15,7188354492188;112
"221";221;"Hylarana erythraea";1965;1;101,2641;3,3524;1965,075;25,7408081054688;6
"222";222;"Hylarana latouchii";2017;10;120,7991;22,21701;2017,75;24,8445068359375;220
"223";223;"Lithobates clamitans";2016;6;-72,94615;41,40806;2016,45;19,9106994628906;159
"224";224;"Hylarana latouchii";2014;7;120,8093;22,22153;2014,525;27,2880493164063;315
"225";225;"Pelophylax lessonae";2014;8;10,32998;51,62334;2014,6;15,9471984863281;212
"226";226;"Rana temporaria";2006;1;-2,624378;53,82764;2006,075;3,40755615234377;98
"227";227;"Rana temporaria";1989;1;9,59164;47,40325;1989,075;-1,06217041015623;490
"228";228;"Lithobates catesbeianus";2012;6;5,13015;51,14471;2012,45;15,52578125;27
"229";229;"Rana longicrus";2012;1;121,352994;24,984066;2012,075;14,35439453125;131
"230";230;"Lithobates kauffeldi";2022;5;-74,538988;40,651194;2022,375;16,4110046386719;74
"231";231;"Rana iberica";2007;1;-7,364436;41,721182;2007,075;5,43123779296877;823
"232";232;"Sylvirana guentheri";2016;5;121,562468;23,787031;2016,375;NA;38
"233";233;"Lithobates sylvaticus";1969;5;-99,86339;48,75637;1969,375;10,3772827148438;510
"234";234;"Lithobates clamitans";2016;9;-76,725097;39,041092;2016,675;22,6906372070313;41
"235";235;"Rana temporaria";1996;3;6,94665;46,88256;1996,225;3,91610107421877;474
"236";236;"Rana dalmatina";1979;1;-0,51823;48,15631;1979,075;-0,480749511718727;103
"237";237;"Lithobates chiricahuensis";1975;7;-108,0299;33,01117;1975,525;18,2923217773438;2180
"238";238;"Pelophylax lessonae";2020;6;5,692312;49,63665;2020,45;16,5295959472656;375
"239";239;"Rana temporaria";2005;3;7,34007;46,97353;2005,225;4,59902343750002;562
"240";240;"Chalcorana chalconota";1999;1;106,878333;-6,671944;1999,075;20,0622802734375;613
"241";241;"Hylarana latouchii";2020;4;121,5139;25,17782;2020,3;18,6426330566406;808
"242";242;"Pelophylax perezi";2012;6;-0,54;38,62;2012,45;23,367578125;806
"243";243;"Rana temporaria";1999;3;7,47149;46,97357;1999,225;4,14400634765627;546
"244";244;"Rana temporaria";2020;4;5,35;52,15;2020,3;11,0410705566406;24
"245";245;"Rana arvalis";2008;4;12,226781;55,548894;2008,3;7,04024658203127;2
"246";246;"Pelophylax perezi";2020;6;-0,189307;38,91707;2020,45;22,2561584472656;49
"247";247;"Lithobates catesbeianus";2017;9;-88,023188;42,070632;2017,675;19,7072998046875;218
"248";248;"Hylarana latouchii";2021;8;121,0235;24,65504;2021,6;26,6632934570313;197
"249";249;"Pelophylax bedriagae";2022;5;35,317807;31,831363;2022,375;21,7742858886719;291
"250";250;"Lithobates pipiens";2019;9;-77,45758;44,43597;2019,675;16,6211791992188;174
"251";251;"Rana temporaria";2019;8;13,45;47,55;2019,6;15,3502136230469;1179
"252";252;"Rana temporaria";2010;7;8,20192;47,51073;2010,525;20,167626953125;382
"253";253;"Pelophylax perezi";2006;1;-1,07;39,96;2006,075;1,22982177734377;1362
"254";254;"Rana temporaria";1979;1;7,80276;47,37776;1979,075;-4,13699951171873;697
"255";255;"Hylarana latouchii";2014;1;121,5575;25,01486;2014,075;13,8839965820313;66
"256";256;"Rana limnocharis";1998;12;96,17259;18,85601;1998,9;26,5030151367188;121
"257";257;"Pelophylax lessonae";2019;6;6,65;53;2019,45;18,3780456542969;12
"258";258;"Lithobates catesbeianus";2011;5;4,96057;51,09676;2011,375;15,1479125976563;15
"259";259;"Lithobates sylvaticus";2015;5;-72,63494;41,36125;2015,375;15,8758178710938;103
"260";260;"Pelophylax lessonae";2002;3;5,72409;48,98564;2002,225;6,5762878417969;240
"261";261;"Rana temporaria";2014;3;6,6;52,95;2014,225;7,27193603515627;12
"262";262;"Rana temporaria";2014;3;-1,488579;51,21496;2014,225;7,13912353515627;68
"263";263;"Rana temporaria";1999;5;2,06451;45,00274;1999,375;14,8373962402344;598
"264";264;"Pelophylax perezi";2001;1;3,63033;43,47633;2001,075;8,53896484375002;131
"265";265;"Rana temporaria";2005;3;-2,676199;53,27007;2005,225;7,09707031250002;58
"266";266;"Papurana daemeli";1979;6;143,333451;-13,754822;1979,45;21,104638671875;590
"267";267;"Rana temporaria";2007;3;7,07875;46,74812;2007,225;2,64821777343752;707
"268";268;"Rana dalmatina";2016;4;16,66906;56,77265;2016,3;6,00124511718752;22
"269";269;"Rana temporaria";2018;5;4,90228;48,51118;2018,375;16,3730407714844;190
"270";270;"Rana arvalis";2021;2;6,65;53;2021,15;2,63924560546877;12
"271";271;"Rana temporaria";2005;4;5,92541;48,75926;2005,3;9,86965332031252;226
"272";272;"Lithobates sylvaticus";2015;5;-72,60842;41,31777;2015,375;15,2254272460938;43
"273";273;"Rana iberica";2014;10;-6,528997;41,93786;2014,75;14,692041015625;905
"274";274;"Rana temporaria";2007;2;-3,952192;51,63756;2007,15;6,86049804687502;63
"275";275;"Rana dalmatina";2018;4;14,00444;55,53984;2018,3;7,75478515625002;66
"276";276;"Sylvirana guentheri";2018;5;121,532041;25,103916;2018,375;25,3984313964844;15
"277";277;"Lithobates catesbeianus";2018;8;-72,185749;42,260407;2018,6;22,6138549804688;224
"278";278;"Lithobates clamitans";2020;3;-90,426369;30,397518;2020,225;20,2314392089844;7
"279";279;"Hylarana latouchii";2020;11;121,4451;24,84731;2020,825;17,5161376953125;389
"280";280;"Lithobates sphenocephalus";2014;3;-97,16983;30,08137;2014,225;14,1957641601563;154
"281";281;"Lithobates clamitans";2019;6;-73,788014;41,175129;2019,45;19,9581237792969;178
"282";282;"Rana coreana";2007;4;127,1638;37,54057;2007,3;9,72139892578127;75
"283";283;"Rana temporaria";2018;4;12,50542;57,90109;2018,3;7,10244140625002;93
"284";284;"Sylvirana guentheri";2017;11;121,591568;25,04317;2017,825;20,3190551757813;18
"285";285;"Pelophylax lessonae";2009;11;11,7256;55,06467;2009,825;NA;6
"286";286;"Lithobates catesbeianus";2018;6;-118,410927;34,119527;2018,45;20,8410278320313;298
"287";287;"Pelophylax nigromaculatus";2008;7;129,3083;35,35178;2008,525;25,8293090820313;21
"288";288;"Rana temporaria";2019;3;6,91864;51,53195;2019,225;7,53243408203127;50
"289";289;"Odorrana swinhoana";2010;7;121,472488;24,964522;2010,525;28,089501953125;200
"290";290;"Rana temporaria";2008;8;6,05;53,1;2008,6;17,048486328125;0
"291";291;"Rana temporaria";1958;9;-0,191445;51,729788;1958,675;15,153955078125;120
"292";292;"Rana temporaria";2022;8;47,8649;57,30609;2022,6;21,1833129882813;100
"293";293;"Rana temporaria";2021;10;6,75;52,2;2021,75;11,6421142578125;26
"294";294;"Lithobates sphenocephalus";2017;5;-97,12766;28,57834;2017,375;25,3651977539063;29
"295";295;"Lithobates catesbeianus";2020;5;-84,18142;39,713745;2020,375;15,401025390625;293
"296";296;"Rana temporaria";2019;3;13,13143;47,64392;2019,225;0,577355957031273;460
"297";297;"Rana temporaria";2018;3;-2,367992;51,40595;2018,225;4,63887939453127;207
"298";298;"Rana temporaria";2015;7;7,34195;45,93905;2015,525;12,7690673828125;2842
"299";299;"Rana dalmatina";1981;1;2,26789;43,473;1981,075;2,6572204589844;806
"300";300;"Sylvirana guentheri";2022;6;114,092224;22,420314;2022,45;26,8844848632813;151
"301";301;"Rana dalmatina";2013;1;5,7547;44,85053;2013,075;-2,35654296874998;790
"302";302;"Rana arvalis";2021;12;11,37986;55,81481;2021,9;NA;12
"303";303;"Lithobates sphenocephalus";2012;5;-87,55317;31,6667;2012,375;24,3084655761719;33
"304";304;"Lithobates catesbeianus";2011;9;5,10159;51,32636;2011,675;16,2041259765625;25
"305";305;"Pelophylax nigromaculatus";2005;3;127,7496;37,35643;2005,225;3,07558593750002;201
"306";306;"Rana dalmatina";2010;3;2,17636;48,82144;2010,225;6,34139404296877;149
